,Job title,job Description,Wilaya,Link
1,boucher voulait محل بيع الدجاج والأسما,"محل بيع الدواجن بأنواعه والأسماك المجمدة يبحت عن عامل ذو خبرة في الميدان 
السعر معقول المطلوب التقة و وعدم تعاطي (الشمة والدخان) اكرمكم الله
ممكن توفر المبيت
الخبر",Cheraga,https://www.ouedkniss.com/emploi_offresboucher-voulait-محل-بيع-الدجاج-والأسما-alger-cheraga-algerie-offres-d-emploi-d21457131?utm_medium=listing
2,Plakist pizariou,Je cherche un spécialiste piza sondwitch pour un début ,Boufarik - 9,https://www.ouedkniss.com/emploi_offresplakist-pizariou-blida-boufarik-algerie-offres-d-emploi-d23993155?utm_medium=listing
3,Agent d'accueil et assistante,"Bonjour,

pour notre nouveau projet sur alger en chercher une assistante présentable et 5 agents d'accueil (femme) avec une bonne communication et présentation surtout bonne motivation et sérieux.

pour toute personne intéressée elle peut envoyer son cv avec photo sur 

tout cv sans ",Dar el beida,https://www.ouedkniss.com/emploi_offresagent-d-accueil-et-assistante-alger-dar-el-beida-algerie-offres-emploi-d23993129?utm_medium=listing
4,عامل,عامل يومي,Beni tamou - 9,https://www.ouedkniss.com/emploi_offresعامل-blida-beni-tamou-algerie-offres-d-emploi-d23877346?utm_medium=listing
5,"Facturation, attachement ","Etb cherche une personne qui maîtrise les procédures de facturation, comme l'attachement,le dgd,dgp, facture, situation, ainsi que la langue française. 

veuillez svp envoyer votre cv par mail. 

",Birtouta,https://www.ouedkniss.com/emploi_offresfacturation-attachement-alger-birtouta-algerie-offres-d-emploi-d23992800?utm_medium=listing
6,pharmacien assistant ,"Pharmacie à hamiz cherche pharmacien(ne) assistant(e)
age entre 25 et 45 ans.
expérience en officine de plus de 2 ans.
ponctualité et sérieux requis.
envoyez vos cv",Dar el beida,https://www.ouedkniss.com/emploi_offrespharmacien-assistant-alger-dar-el-beida-algerie-offres-d-emploi-d23992696?utm_medium=listing
7,Barista ,"Restaurant à annaba cherche un barista qualifié avec expérience,  prêt à travailler plein temps,  cv à envoyer le cv via whatsapp sur le numéro indiqué ci-dessous ",Annaba - 23,https://www.ouedkniss.com/emploi_offresbarista-annaba-algerie-offres-d-emploi-d23922806?utm_medium=listing
8,Enseignant(e) ,"Ecole privée de formation professionnelle à alger centre cherche prof de langue française (et de langue anglaise.
expérience professionnelle minimum de 5 ans.
voir détails pour notre adresse e-mail.",Alger centre,https://www.ouedkniss.com/emploi_offresenseignant-e-alger-centre-algerie-offres-d-emploi-d23992513?utm_medium=listing
9,Architecte,"Société privée a la recherche d'un architecte  qui a une expérience dans le domaine 
merci  bien de nous envoyer vos cv a l'adresse suivante ",Beni mered - 9,https://www.ouedkniss.com/emploi_offresarchitecte-blida-beni-mered-algerie-offres-d-emploi-d23992446?utm_medium=listing
10,vendeuse en pharmacie ,"Pharmacie à dar el beida  cherche vendeuse répondant au critères suivants:
age entre 30 et 45 ans.
expérience  en officine de plus de 5 ans.
horaires  de travail: de 8h30 à 16h30 avec une heure de pause. du samedi au jeudi. repos vendredi.
ponctualité  et sérieux requis.
envoyez vos cv",Dar el beida,https://www.ouedkniss.com/emploi_offresvendeuse-en-pharmacie-alger-dar-el-beida-algerie-offres-d-emploi-d23347775?utm_medium=listing
11,demi ouvrier ou apprentissage ,Nouveau salon de coiffure libanais ,El biar,https://www.ouedkniss.com/emploi_offresdemi-ouvrier-ou-apprentissage-alger-el-biar-algerie-offres-d-emploi-d23992382?utm_medium=listing
12,Cherche femme de ménage,Je cherche une femme de ménage et au même t'on naurisse couchente possible ils ya pas de problème,Ain benian,https://www.ouedkniss.com/emploi_offrescherche-femme-de-ménage-alger-ain-benian-algerie-offres-d-emploi-d23992324?utm_medium=listing
13,Je cherche une femme de ménage ,Je cherche une femme de ménage et où meten naurisse couchente possible ils ya pas de problème,Ain benian,https://www.ouedkniss.com/emploi_offresje-cherche-une-femme-de-ménage-alger-ain-benian-algerie-offres-d-emploi-d23992288?utm_medium=listing
14,Femme de ménage ,"Bonjour,
nous cherchons des femmes de ménage,  à zeralda,
age, entre 30 et 40 ans, 
cordialement
",Zeralda,https://www.ouedkniss.com/emploi_offresfemme-de-ménage-alger-zeralda-algerie-offres-d-emploi-d23992278?utm_medium=listing
15,Livreur,"Pâtisserie en gros cherche des distributeurs véhiculés pour la livraison des gâteaux
sur alger et ses environs",Ain benian,https://www.ouedkniss.com/emploi_offreslivreur-alger-ain-benian-algerie-offres-d-emploi-d23992262?utm_medium=listing
16,Serveur,Le grand barbecue cherche serveur qualifié ,Laghouat - 3,https://www.ouedkniss.com/emploi_offresserveur-laghouat-algerie-offres-d-emploi-d23992151?utm_medium=listing
17,Tourneur ,ورشة خراطة ببراقي بحاجة إلى عاملين في المجال ,Baraki,https://www.ouedkniss.com/emploi_offrestourneur-alger-baraki-algerie-offres-d-emploi-d18992934?utm_medium=listing
18,Gérante de crèche experimentée,"Crèche eds sise tizi-rached recrute gérante de crèche experimentée. les  personnes intéressées doivent envoyer leur cv avec photo à l'adresse email suivante

",Tizi rached - 15,https://www.ouedkniss.com/emploi_offresgérante-de-crèche-experimentée-tizi-ouzou-rached-algerie-offres-d-emploi-d23899274?utm_medium=listing
19,خياطة أو فينيسوز,"نخدم لي سيرفاثمو
نحوس على فينيسوز وخياطة
مكان العمل : بن راد مع الفيروج تاع باطوقاسي",Bordj el kiffan,https://www.ouedkniss.com/emploi_offresخياطة-أو-فينيسوز-alger-bordj-el-kiffan-algerie-offres-d-emploi-d20862550?utm_medium=listing
20,Educatrice en crèche,"Crèche eds sise tizi-rached recrute éducatrices en crèche. les  personnes intéressées doivent envoyer leur cv avec photo à l'adresse email suivante:

",Tizi rached - 15,https://www.ouedkniss.com/emploi_offreseducatrice-en-crèche-tizi-ouzou-rached-algerie-offres-d-emploi-d23899235?utm_medium=listing
21,Ingénieur d'État en travaux publics,Ingénieur d'État en travaux publics je cherche â loué mon diplome,Jijel - 18,https://www.ouedkniss.com/emploi_offresingénieur-d-État-en-travaux-publics-jijel-algerie-offres-emploi-d23990903?utm_medium=listing
22,المنظفة,منظفة ذات كفائة المهنية ,Bou zedjar - 46,https://www.ouedkniss.com/emploi_offresالمنظفة-ain-temouchent-bou-zedjar-algerie-offres-d-emploi-d23990699?utm_medium=listing
23,Femme de ménage,Urgent entreprise de nettoyage cherche femme de ménage à dar el beida l'aéroport de 08h à 16h,Dar el beida,https://www.ouedkniss.com/emploi_offresfemme-de-ménage-alger-dar-el-beida-algerie-offres-d-emploi-d23990671?utm_medium=listing
24,Operateur de chaine de montage,"ورشة متخصصة فى مجال الإلكترونيات ببرج الكيفان توفر مناصب شغل للإناث بدوام كامل.
المؤهلات المطلوبة:
- مستوى تعليمي لا يقل عن الثانوي (تخصص علمي أو تقني).
- العمر لا يت",Bordj el kiffan,https://www.ouedkniss.com/emploi_offresoperateur-de-chaine-montage-alger-bordj-el-kiffan-algerie-offres-d-emploi-d23990602?utm_medium=listing
25,reponsable depot,Reception et entreposage de marchandise .avec gestion de stock,Draria,https://www.ouedkniss.com/emploi_offresreponsable-depot-alger-draria-algerie-offres-d-emploi-d23990379?utm_medium=listing
26,N\A,N\A,N\A,https://www.ouedkniss.com/emploi_offresN\A
